name,regbez,landkreis_id,fund_max_menge,fund_max_year,fund_max_month,fund_max_day,fund_max_ort,ort_max_funde,ort_max,menge,funde,menge_2015,funde_2008,funde_2009,funde_2010,funde_2011,funde_2012,funde_2013,funde_2014,funde_2015
Ingolstadt,Oberbayern,9161,"2,5",2015,6,11,Ingolstadt,7,Ingolstadt,fÌ_nf,7,"3,9",0,0,0,0,2,1,2,2
MÌ_nchen,Oberbayern,9162,43,2008,10,6,MÌ_nchen,152,MÌ_nchen,410,152,"31,05",3,5,7,31,39,17,33,17
Rosenheim,Oberbayern,9163,"326,77",2012,1,30,Rosenheim,23,Rosenheim,406,23,"2,44",0,0,3,0,6,7,3,4
AltÌ¦tting,Oberbayern,9171,"18,5",2009,9,2,Kastl,2,AltÌ¦tting,66,11,14,0,1,0,2,5,1,1,1
Berchtesgadener Land,Oberbayern,9172,"7,7",2011,11,25,Bad Reichenhall,6,Piding,18,18,"3,62",2,0,3,6,0,3,1,3
Bad TÌ¦lz-Wolfratshausen,Oberbayern,9173,"1,5",2012,3,17,KÌ¦nigsdorf,1,Bad TÌ¦lz,zwei,3,0,0,0,1,0,1,0,1,0
Dachau,Oberbayern,9174,"0,8",2013,1,31,Dachau,1,Dachau,ein,2,0,0,0,0,0,1,1,0,0
Ebersberg,Oberbayern,9175,"9,4",2014,7,6,Anzing,1,Anzing,neun,1,0,0,0,0,0,0,0,1,0
EichstÌ_tt,Oberbayern,9176,12,2012,8,10,Altmannstein,2,Altmannstein,32,5,0,1,0,0,0,2,1,1,0
Erding,Oberbayern,9177,"46,33",2009,11,11,Oberding,5,Erding,88,7,0,0,2,0,1,2,1,1,0
Freising,Oberbayern,9178,"14,1",2012,1,18,Neufahrn bei Freising,6,Haag an der Amper,26,15,0,1,0,0,8,2,2,2,0
FÌ_rstenfeldbruck,Oberbayern,9179,50,2012,8,13,FÌ_rstenfeldbruck,4,FÌ_rstenfeldbruck,55,6,"0,1",0,0,0,0,1,3,1,1
Landsberg am Lech,Oberbayern,9181,35,2015,2,4,Geltendorf,1,DieÌÙen am Ammersee,36,3,"35,3",0,0,0,0,0,0,1,2
Miesbach,Oberbayern,9182,28,2010,5,1,Irschenberg,4,Irschenberg,44,14,"6,8",0,0,2,2,3,1,3,3
MÌ_hldorf am Inn,Oberbayern,9183,110,2010,12,12,MÌ_hldorf am Inn,7,MÌ_hldorf am Inn,235,18,"0,61",0,0,1,4,4,2,5,2
MÌ_nchen,Oberbayern,9184,108,2015,7,21,Brunnthal,5,Brunnthal,135,13,"108,1",0,0,1,3,1,2,4,2
Neuburg-Schrobenhausen,Oberbayern,9185,"0,15",2014,5,20,Burgheim,1,Burgheim,0,1,0,0,0,0,0,0,0,1,0
